date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:55	165681/165681	---M-Z	200	added ('OK')	text/html	etag:%2228731-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/widget-basic.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/widget-basic.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:56	121193/121193	---M-Z	200	added ('OK')	text/html	etag:%221d969-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/form-element.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/form-element.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:56	65655/65655	---M-Z	200	added ('OK')	text/html	etag:%2210077-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/form-wizard.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/form-wizard.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:56	56279/56279	---M-Z	200	added ('OK')	text/html	etag:%22dbd7-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/form-editor-summernote.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/form-editor-summernote.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:56	67324/67324	---M-Z	200	added ('OK')	text/html	etag:%22106fc-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/form-pickers.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/form-pickers.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:56	71700/71700	---M-Z	200	added ('OK')	text/html	etag:%2211814-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/form-validation-jquery.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/form-validation-jquery.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:57	116137/116137	---M-Z	200	added ('OK')	text/html	etag:%221c5a9-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/table-bootstrap-basic.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/table-bootstrap-basic.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:57	213076/213076	---M-Z	200	added ('OK')	text/html	etag:%2234054-5bca37a979980-gzip%22	https://sego.dexignzone.com/xhtml/table-datatable-basic.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/table-datatable-basic.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:57	3415/3415	---M-Z	200	added ('OK')	text/html	etag:%22d57-5b74d446e5700-gzip%22	https://sego.dexignzone.com/xhtml/page-register.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-register.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:57	1683/1683	---M-Z	200	added ('OK')	text/html	etag:%22693-5b739e99db900-gzip%22	https://sego.dexignzone.com/xhtml/page-error-400.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-error-400.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:58	1706/1706	---M-Z	200	added ('OK')	text/html	etag:%226aa-5b739e9dac200-gzip%22	https://sego.dexignzone.com/xhtml/page-error-403.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-error-403.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:58	1753/1753	---M-Z	200	added ('OK')	text/html	etag:%226d9-5b739ea364f80-gzip%22	https://sego.dexignzone.com/xhtml/page-error-404.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-error-404.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:58	1722/1722	---M-Z	200	added ('OK')	text/html	etag:%226ba-5b739ea735880-gzip%22	https://sego.dexignzone.com/xhtml/page-error-500.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-error-500.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:58	1695/1695	---M-Z	200	added ('OK')	text/html	etag:%2269f-5b739eab06180-gzip%22	https://sego.dexignzone.com/xhtml/page-error-503.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-error-503.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:59	2441/2441	---M-Z	200	added ('OK')	text/html	etag:%22989-5b74d46b22c80-gzip%22	https://sego.dexignzone.com/xhtml/page-lock-screen.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/page-lock-screen.html	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:58:59	1917/1917	---M--	200	added ('OK')	image/png	etag:%2277d-5b7108e298a00%22	https://sego.dexignzone.com/xhtml/images/food-serving.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/food-serving.png	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:01	50598/50598	---M--	200	added ('OK')	application/x-javascript	etag:%22c5a6-5b5f83472aa00%22	https://sego.dexignzone.com/xhtml/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:01	5735/5735	---M--	200	added ('OK')	application/x-javascript	etag:%221667-5bca366ec3300%22	https://sego.dexignzone.com/xhtml/js/custom.min.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/js/custom.min.js	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:01	980/980	---M--	200	added ('OK')	application/x-javascript	etag:%223d4-5b606c2929a80%22	https://sego.dexignzone.com/xhtml/js/deznav-init.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/js/deznav-init.js	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:02	42766/42766	---M--	200	added ('OK')	application/x-javascript	etag:%22a70e-58fb2d4a3ab80%22	https://sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.js	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:02	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:02%20GMT	https://sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.video.play.png	(from https://sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.css)
12:59:02	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:02%20GMT	https://sego.dexignzone.com/xhtml/error-404.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/error-404.html	(from https://sego.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.css)
12:59:03	10621/10621	---M--	200	added ('OK')	text/css	etag:%22297d-5b36e53f6a200%22	https://sego.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:03	218936/218936	---M--	200	added ('OK')	application/x-javascript	etag:%2235738-5b2ceab63ba00%22	https://sego.dexignzone.com/xhtml/vendor/global/global.min.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/global/global.min.js	(from https://sego.dexignzone.com/xhtml/reviews.html)
12:59:04	31028/31028	---M--	200	added ('OK')	text/css	etag:%227934-58dde99508380%22	https://sego.dexignzone.com/xhtml/icons/font-awesome-old/css/font-awesome.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/font-awesome-old/css/font-awesome.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:04	13858/13858	---M--	200	added ('OK')	text/css	etag:%223622-5b36e55fd6e80%22	https://sego.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:04	105572/105572	---M--	200	added ('OK')	text/css	etag:%2219c64-5b36e53027e00%22	https://sego.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:05	6237/6237	---M--	200	added ('OK')	text/css	etag:%22185d-5b36e4d49a600%22	https://sego.dexignzone.com/xhtml/icons/avasta/css/style.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/avasta/css/style.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:07	17957/17957	---M--	200	added ('OK')	text/css	etag:%224625-5b36e4e7ad300%22	https://sego.dexignzone.com/xhtml/icons/flaticon/flaticon.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/flaticon/flaticon.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:07	89729/89729	---M--	200	added ('OK')	text/css	etag:%2215e81-596c0603c3900%22	https://sego.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:08	28765/28765	---M--	200	added ('OK')	text/css	etag:%22705d-58dde99508380%22	https://sego.dexignzone.com/xhtml/vendor/aos/css/aos.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/aos/css/aos.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:08	57953/57953	---M--	200	added ('OK')	text/css	etag:%22e261-5b36e86268880%22	https://sego.dexignzone.com/xhtml/vendor/animate/animate.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/animate/animate.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:08	1819/1819	---M--	200	added ('OK')	text/css	etag:%2271b-5b36e7decd200%22	https://sego.dexignzone.com/xhtml/vendor/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/perfect-scrollbar/css/perfect-scrollbar.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:09	2144/2144	---M--	200	added ('OK')	text/css	etag:%22860-5b36e80c93e00%22	https://sego.dexignzone.com/xhtml/vendor/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/metismenu/css/metisMenu.min.css	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:09	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:09%20GMT	https://sego.dexignzone.com/xhtml/images/body/12.jpg	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/body/12.jpg	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:09	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:09%20GMT	https://sego.dexignzone.com/xhtml/error-404.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/error-404.html	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:10	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:10%20GMT	https://sego.dexignzone.com/xhtml/images/svg/cd-arrow.svg	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/svg/cd-arrow.svg	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:10	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:10%20GMT	https://sego.dexignzone.com/xhtml/error-404.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/error-404.html	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:11	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:11%20GMT	https://sego.dexignzone.com/xhtml/images/circle.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/circle.png	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:12	96252/96252	---M--	200	added ('OK')	image/jpeg	etag:%22177fc-5b74895c81780%22	https://sego.dexignzone.com/xhtml/images/1.jpg	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/1.jpg	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:12	266365/266365	---M--	200	added ('OK')	image/jpeg	etag:%224107d-5b7488fb3b200%22	https://sego.dexignzone.com/xhtml/images/profile/cover.jpg	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/profile/cover.jpg	(from https://sego.dexignzone.com/xhtml/css/style.css)
